Chinese	Pinyin	English	TimesUsed
本是	běn shì	originally are	11
皮子	pí zi	skins	11
跟着	gēn zhe	follow	11
主宰	zhǔ zǎi	sovereign	11
扛	káng	carry on shoulder	11
不悦	bù yuè	displeased	11
壮士	zhuàng shì	strong man	11
塞特	sè tè	Seth	11
雅弗	yǎ fú	Japheth	11
美貌	měi mào	beautiful	11
一百二十	yī bǎi èr shí	one hundred twenty	11
完全人	wán quán rén	blameless man	11
儿妇	ér fù	daughters-in-law	11
十五	shí wǔ	fifteen	11
稍	shāo	slightly	11
农夫	nóng fū	farmer	11
亚法撒	yà fǎ sā	Arphaxad	11
法勒	fǎ lè	Peleg	11
阿斐	ā fěi	Ophir	11
记在	jì zài	recorded in	11
密迦	mì jiā	Milcah	11
左	zuǒ	left	11
富足	fù zú	rich	11
鸤鸠	shī jiū	turtledove	11
资财	zī cái	wealth	11
历代	lì dài	generations	11
生在	shēng zài	born in	11
一见	yī jiàn	as soon as he saw	11
仆	pú	servant	11
跑到	pǎo dào	ran to	11
后边	hòu bian	behind	11
逃往	táo wǎng	flee to	11
号哭	háo kū	wail	11
指摘	zhǐ zhāi	rebuke	11
在此	zài cǐ	here	11
彼土利	bǐ tǔ lì	Bethuel	11
那块	nà kuài	that piece	11
洞里	dòng lǐ	in the cave	11
他家	tā jiā	his household	11
请你	qǐng nǐ	please you	11
饭	fàn	food	11
十日	shí rì	ten days	11
基达	jī dá	Kedar	11
蕃衍	fán yǎn	multiply	11
山羊羔	shān yáng gāo	young goat	11
欺哄	qī hǒng	deceive	11
福分	fú fèn	blessing	11
两次	liǎng cì	twice	11
面貌	miàn mào	appearance	11
瘦弱	shòu ruò	weak	11
罢了	bà le	never mind	11
拿去	ná qù	take away	11
六年	liù nián	six years	11
空手	kōng shǒu	empty-handed	11
富有	fù yǒu	wealthy	11
供奉	gòng fèng	offering	11
下边	xià bian	below	11
流珥	liú ěr	Reuel	11
亭纳	tíng nà	Timna	11
脱了	tuō le	took off	11
寻着	xún zháo	find	11
戏弄	xì nòng	mock	11
灾害	zāi hài	disaster	11
诚实人	chéng shí rén	honest people	11
恶待	è dài	treated badly	11
装满	zhuāng mǎn	fill up	11
众弟兄	zhòng dì xiong	brothers	11
打开	dǎ kāi	opened	11
作保	zuò bǎo	guarantee	11
昏花	hūn huā	dim	11
挪	nuó	move	11
牙齿	yá chǐ	teeth	11
跑来	pǎo lái	run to	11
大大地	dà dà de	greatly	11
自有	zì yǒu	self-existent	11
民众	mín zhòng	people	11
懒惰	lǎn duò	lazy	11
立了	lì le	established	11
以斯哈	yǐ sī hā	Izhar	11
河中	hé zhōng	in the river	11
心上	xīn shàng	in heart	11
打折	dǎ zhé	break	11
扰累	rǎo lèi	trouble	11
飞来	fēi lái	fly in	11
节	jié	festival	11
领出	lǐng chū	lead out	11
翻腾	fān téng	churn	11
作歌	zuò gē	sing a song	11
玛拉	mǎ lā	Marah	11
个月	gè yuè	month	11
直至	zhí zhì	until	11
争闹	zhēng nào	quarrel	11
门旁	mén páng	by the door	11
设下	shè xià	establish	11
仅	jǐn	only	11
已有	yǐ yǒu	already has	11
本主	běn zhǔ	original owner	11
镶嵌	xiāng qiàn	inlay	11
细麻	xì má	fine linen	11
织	zhī	weave	11
南面	nán miàn	south side	11
裹	guǒ	cover	11
门帘	mén lián	door curtain	11
铲	chǎn	shovel	11
帏子	wéi zi	screen	11
钩子	gōu zi	hooks	11
东面	dōng miàn	east side	11
油果	yóu guǒ	olives	11
担	dān	to bear	11
系上	jì shàng	tie on	11
腰子	yāo zi	kidney	11
焚香台	fén xiāng tái	altar of incense	11
调和	tiáo hé	blend	11
成圣	chéng shèng	sanctify	11
大怒	dà nù	greatly angry	11
七百	qī bǎi	seven hundred	11
第二年	dì èr nián	second year	11
取出	qǔ chū	take out	11
不灭	bù miè	not extinguish	11
常献	cháng xiàn	regular	11
尽行	jìn xíng	completely	11
还愿	huán yuàn	fulfill a vow	11
爬	pá	crawl	11
莫	mò	do not	11
鬼魔	guǐ mó	demons	11
恭敬	gōng jìng	respect	11
可憎恶	kě zēng wù	abominable	11
利息	lì xī	interest	11
先人	xiān rén	ancestors	11
地步	dì bù	point	11
拔刀	bá dāo	draw sword	11
所立	suǒ lì	established	11
估定	gū dìng	assess	11
利未支派	lì wèi zhī pài	tribe of Levi	11
免受	miǎn shòu	be exempt from	11
各有	gè yǒu	each has	11
礼仪	lǐ yí	etiquette	11
停止	tíng zhǐ	stop	11
帅领	shuài lǐng	lead	11
够	gòu	enough	11
身躯	shēn qū	body	11
亚比兰	yà bǐ lán	Abiram	11
场上	cháng shàng	threshing floor	11
以东王	yǐ dōng wáng	king of Edom	11
亚嫩河	yà nèn hé	Arnon River	11
偏向	piān xiàng	turn aside	11
主命	zhǔ mìng	Lord's command	11
人多	rén duō	many people	11
默然	mò rán	silently	11
戒	jiè	prohibition	11
基列地	jī liè dì	land of Gilead	11
基纳	jī nà	Kenath	11
蝎子	xiē zi	scorpion	11
立拉	lì lā	Lila	11
仇	chóu	enmity	11
洼地	wā dì	lowland	11
冒死	mào sǐ	risk death	11
前去	qián qù	go forward	11
冲没	chōng mò	overwhelm	11
不像	bù xiàng	not like	11
密友	mì yǒu	close friend	11
日见	rì jiàn	daily see	11
拔除	bá chú	uproot	11
赞扬	zàn yáng	praise	11
主恩	zhǔ ēn	Lord's grace	11
邻国	lín guó	neighboring countries	11
衰败	shuāi bài	decline	11
时刻	shí kè	time	11
荒场	huāng chǎng	wasteland	11
大王	dà wáng	great king	11
那些人	nà xiē rén	those people	11
临门	lín mén	Rimmon	11
以法莲山	yǐ fǎ lián shān	Mount Ephraim	11
联络	lián luò	associate	11
我家	wǒ jiā	my household	11
米吉多	mǐ jí duō	Megiddo	11
关锁	guān suǒ	lock	11
雅亿	yǎ yì	Jael	11
东方人	dōng fāng rén	Easterners	11
凌虐	líng nüè	oppress	11
露水	lù shuǐ	dew	11
舔	tiǎn	lick	11
诚诚实实	chéng chéng shí shí	sincerely	11
荫下	yīn xià	under my shadow	11
一队	yī duì	a group	11
始	shǐ	began	11
大衮	dà gǔn	Dagon	11
二万五千	èr wàn wǔ qiān	twenty-five thousand	11
以利户	yǐ lì hù	Elihu	11
过恶	guò è	wrongdoing	11
寻索	xún suǒ	sought	11
由此	yóu cǐ	from this	11
气力	qì lì	energy	11
复和	fù hé	reconcile	11
抛弃	pāo qì	abandon	11
不止	bù zhǐ	not stop	11
示法提雅	shì fǎ tí yǎ	Shephatiah	11
愚妄人	yú wàng rén	foolish person	11
宫中	gōng zhōng	palace	11
主天主	zhǔ tiān zhǔ	Lord God	11
欲	yù	want to	11
炭火	tàn huǒ	embers	11
赏	shǎng	reward	11
筑垒	zhù lěi	build ramparts	11
熄灭	xī miè	extinguish	11
黑云	hēi yún	dark clouds	11
照耀	zhào yào	shine	11
邪曲	xié qū	crooked	11
诸将	zhū jiàng	commanders	11
易多	yì duō	Iddo	11
可见	kě jiàn	can be seen	11
象牙	xiàng yá	ivory	11
粪土	fèn tǔ	dung and dirt	11
携	xié	carry	11
何西雅	hé xī yǎ	Hoshea	11
利汛	lì xùn	Rezin	11
规模	guī mó	size	11
廊子	láng zi	corridor	11
眼泪	yǎn lèi	tears	11
亚大雅	yà dà yǎ	Adaiah	11
一卷	yī juǎn	a scroll	11
耶利末	yē lì mò	Jeremoth	11
求救	qiú jiù	cry for help	11
阿珥楠	ā ěr nán	Ornan	11
监督	jiān dū	supervise	11
别国	bié guó	other countries	11
拒绝	jù jué	rejected	11
亚拉伯人	yà lā bó rén	Arabians	11
定意	dìng yì	determine	11
殿奴	diàn nú	temple servants	11
哈该	hā gāi	Haggai	11
得脱	dé tuō	escape	11
书珊城	shū shān chéng	city of Susa	11
利	lì	interest	11
文字	wén zì	writing	11
木架	mù jià	wooden frame	11
野驴	yě lǘ	wild donkey	11
拯济	zhěng jì	save	11
辩驳	biàn bó	argue against	11
暴风	bào fēng	storm	11
晨光	chén guāng	morning light	11
辩白	biàn bái	justify	11
追逐	zhuī zhú	chase	11
话语	huà yǔ	words	11
受造	shòu zào	created	11
切齿	qiè chǐ	gnash teeth	11
深处	shēn chù	depths	11
指斥	zhǐ chì	rebuke	11
房宅	fáng zhái	house	11
陷坑	xiàn kēng	pit	11
醒起	xǐng qǐ	awake	11
势如	shì rú	power like	11
波浪	bō làng	waves	11
行刑	xíng xíng	execute judgment	11
歌诗	gē shī	sing psalms	11
矜恤	jīn xù	compassion	11
泛海	fàn hǎi	sail the sea	11
学问	xué wèn	knowledge	11
师傅	shī fu	master	11
自欺	zì qī	self-deception	11
遍处	biàn chù	everywhere	11
留心	liú xīn	pay attention	11
趁着	chèn zhe	while	11
毒蛇	dú shé	venomous snake	11
中保	zhōng bǎo	mediator	11
作见证	zuò jiàn zhèng	bear witness	11
磨亮	mó liàng	polished	11
结实	jiē shí	bear fruit	11
休妻	xiū qī	divorce wife	11
淫行	yín xíng	lewdness	11
妄说	wàng shuō	falsely prophesy	11
新约	xīn yuē	new covenant	11
榜样	bǎng yàng	example	11
隙地	xì dì	open space	11
本来	běn lái	originally	11
约帕	yuē pà	Joppa	11
翻出来	fān chū lái	translated	11
西庇太	xī bì tài	Zebedee	11
女孩儿	nǚ hái er	girl	11
很	hěn	very	11
生来	shēng lái	born	11
伯他尼	bó tā ní	Bethany	11
拿起	ná qǐ	take up	11
赏给	shǎng gěi	give as a reward	11
罗玛人	luó mǎ rén	Romans	11
哥尼流	gē ní liú	Cornelius	11
亚波罗	yà bō luó	Apollos	11
腓力司	féi lì sī	Felix	11
称义	chēng yì	justified	11
蒙召	méng zhào	called	11
定为	dìng wéi	establish as	10
伊甸	yī diàn	Eden	10
独居	dú jū	live alone	10
拉哈	lā hā	Rahab	10
房顶	fáng dǐng	roof	10
下山	xià shān	descend the mountain	10
苦楚	kǔ chǔ	pain	10
便当	biàn dāng	should	10
众祭司	zhòng jì sī	priests	10
行过	xíng guò	pass by	10
等待	děng dài	wait	10
一生一世	yī shēng yī shì	all your life	10
七倍	qī bèi	sevenfold	10
铁匠	tiě jiàng	blacksmith	10
操作	cāo zuò	work	10
飞禽	fēi qín	birds	10
俗语	sú yǔ	saying	10
西边	xī biān	west side	10
锁珥	suǒ ěr	Zoar	10
园囿	yuán yòu	garden	10
所在	suǒ zài	located	10
数算	shǔ suàn	count	10
方能	fāng néng	then can	10
列族	liè zú	nations	10
交战	jiāo zhàn	battle	10
细亚	xì yà	seah (a measure)	10
笑	xiào	laugh	10
五十个	wǔ shí gè	fifty	10
看待	kàn dài	treat	10
独生子	dú shēng zǐ	only son	10
哀恸	āi tòng	mourn	10
骑上	qí shàng	mounted	10
名分	míng fèn	birthright	10
蒙福	méng fú	be blessed	10
沾	zhān	moisten	10
巴旦亚兰	bā dàn yà lán	Padan-aram	10
投奔	tóu bèn	seek refuge	10
作主	zuò zhǔ	make decisions	10
本土	běn tǔ	native land	10
点	diǎn	spotted	10
筑立	zhù lì	build	10
沙玛	shā mǎ	Shammah	10
珥	ěr	Er	10
示拉	shì lā	Shelah	10
拉住	lā zhù	grasped	10
囚禁	qiú jìn	imprisoned	10
恼怒	nǎo nù	angry	10
臣	chén	officials	10
做梦	zuò mèng	had a dream	10
统辖	tǒng xiá	govern	10
跪下	guì xià	kneel down	10
不错	bù cuò	not wrong	10
丧子	sàng zǐ	lose children	10
次序	cì xù	order	10
止	zhǐ	stop	10
相连	xiāng lián	connected	10
大哭	dà kū	cry loudly	10
家眷	jiā juàn	household	10
难以	nán yǐ	difficult to	10
年日	nián rì	days	10
飘荡	piāo dàng	wander	10
族中	zú zhōng	among the people	10
栽	zāi	planted	10
苦害	kǔ hài	afflict	10
医生	yī shēng	physicians	10
达到	dá dào	reach	10
口里	kǒu lǐ	mouth	10
重重地	zhòng zhòng de	heavily (adverbial)	10
去见	qù jiàn	go see	10
以至	yǐ zhì	even to	10
谦卑	qiān bēi	humble	10
极大的	jí dà de	very great	10
目中	mù zhōng	in the eyes	10
本地人	běn dì rén	local	10
谁能	shéi néng	who can	10
十五日	shí wǔ rì	fifteenth day	10
西乃	xī nǎi	Sinai	10
摩西的	Mó xī de	of Moses	10
问安	wèn ān	to greet	10
求问	qiú wèn	inquire of	10
闪电	shǎn diàn	lightning	10
得到	dé dào	come to	10
它的	tā de	its	10
仇恨	chóu hèn	hatred	10
民长	mín zhǎng	leader of the people	10
疾病	jí bìng	disease	10
铸造	zhù zào	cast	10
襻	pàn	loop	10
北面	běi miàn	north side	10
须用	xū yòng	must use	10
肩带	jiān dài	shoulder straps	10
做法	zuò fǎ	workmanship	10
甲	jiǎ	armor	10
肉块	ròu kuài	meat pieces	10
有些	yǒu xiē	some	10
赎罪祭牲	shú zuì jì shēng	sin offering sacrifice	10
特为	tè wèi	especially for	10
用火	yòng huǒ	with fire	10
佩戴	pèi dài	wear	10
当面	dāng miàn	face to face	10
列邦人	liè bāng rén	nations	10
才智	cái zhì	wisdom	10
物料	wù liào	materials	10
所犯	suǒ fàn	committed	10
染了	rǎn le	became	10
占	zhàn	occupy	10
托付	tuō fù	entrust	10
占据	zhàn jù	occupy	10
脱去	tuō qù	take off	10
蹄	tí	hoof	10
倒嚼	dǎo jiáo	chews the cud	10
翅	chì	fins	10
此等	cǐ děng	these	10
秃疮	tū chuāng	bald sore	10
两手	liǎng shǒu	both hands	10
别类	bié lèi	other kinds	10
摩洛	mó luò	Molech	10
法术	fǎ shù	sorcery	10
装作	zhuāng zuò	pretend	10
出嫁	chū jià	marry	10
污亵	wū xiè	defile	10
共计	gòng jì	total	10
水旁	shuǐ páng	by the water	10
搁	gē	place	10
荒邱	huāng qiū	waste mounds	10
统领	tǒng lǐng	commanders	10
五万	wǔ wàn	fifty thousand	10
哥辖族	gē xiá zú	Kohathites	10
醋	cù	vinegar	10
安歇	ān xiē	rest	10
利合	lì hé	Rehob (place name)	10
亚衲族	yà nà zú	Anakites	10
倒不如	dào bù rú	might as well	10
大恩	dà ēn	great mercy	10
故意	gù yì	deliberately	10
大坍	dà tān	Dathan	10
幕中	mù zhōng	in the tabernacle	10
要求	yāo qiú	demand	10
必死	bì sǐ	must die	10
供职	gòng zhí	serve in office	10
废坏	fèi huài	abolish	10
击	jī	strike	10
底本	dǐ běn	Dibon	10
既有	jì yǒu	since has	10
大权	dà quán	great authority	10
流行	liú xíng	spread	10
西罗非哈	xī luó fēi hā	Zelophehad	10
南界	nán jiè	southern border	10
其界	qí jiè	its boundary	10
只当	zhī dāng	should only	10
呼	hū	call	10
眷爱	juàn ài	love dearly	10
急速	jí sù	quickly	10
增多	zēng duō	increase	10
缺欠	quē qiàn	lack	10
无分	wú fèn	no portion	10
全国	quán guó	whole country	10
踏	tà	tread	10
匪类	fěi lèi	wicked people	10
鹿	lù	deer	10
不免	bù miǎn	inevitably	10
穷乏人	qióng fá rén	poor people	10
较比	jiào bǐ	compared to	10
可恶	kě wù	detestable	10
词讼	cí sòng	legal disputes	10
房上	fáng shàng	on the house	10
癫狂	diān kuáng	mad	10
昏迷	hūn mí	dizzy	10
被掳掠	bèi lǔ lüè	captured	10
最为	zuì wéi	most	10
消亡	xiāo wáng	perish	10
切	qiē	all	10
走在	zǒu zài	walks at	10
懦弱	nuò ruò	cowardly	10
高冈	gāo gāng	mound	10
旧	jiù	old	10
并没有	bìng méi yǒu	did not	10
谕	yù	command	10
猛然	měng rán	suddenly	10
基叠	jī dié	Kedesh	10
西弗	xī fú	Ziph	10
琐拉	Suǒ lā	Zorah	10
奉差遣	fèng chāi qiǎn	dispatch	10
往上	wǎng shàng	upwards	10
分出来	fēn chū lái	set apart	10
更改	gēng gǎi	change	10
底博拉	dǐ bó lā	Deborah	10
王子	wáng zǐ	prince	10
匪徒	fěi tú	ruffians	10
诓哄	kuāng hǒng	deceive	10
见了	jiàn le	saw	10
冒	mào	rise	10
叱喝	chì hè	scold	10
俄伯得	é bó dé	Obed	10
强健	qiáng jiàn	strong	10
饱足	bǎo zú	satiated	10
扎	zhā	pierce	10
车上	chē shàng	on the cart	10
奔走	bēn zǒu	run	10
请来	qǐng lái	invited	10
怎么样	zěn me yàng	how	10
时分	shí fēn	time	10
想着	xiǎng zhe	thought	10
元首	yuán shǒu	leader	10
呐喊	nà hǎn	shout	10
熊	xióng	bear	10
山寨	shān zhài	stronghold	10
受膏王	shòu gāo wáng	anointed king	10
性情	xìng qíng	temperament	10
耶拉篾	yē lā miè	Jerahmeel	10
非常	fēi cháng	extraordinary	10
立志	lì zhì	resolve	10
脸面	liǎn miàn	face	10
四子	sì zǐ	fourth son	10
柏木	bǎi mù	cypress wood	10
瑟	sè	zither	10
迦特人	jiā tè rén	Gittite	10
哈大底谢	hā dà dǐ xiè	Hadadezer	10
骡子	luó zi	mule	10
瑕疵	xiá cī	flaw	10
汲沦溪	jí lún xī	Kidron Valley	10
备	bèi	prepare	10
歌珥	gē ěr	cor (a unit of measure)	10
十八	shí bā	eighteen	10
围	wéi	circumference	10
铜海	tóng hǎi	bronze sea	10
厚	hòu	thick	10
心子	xīn zi	core	10
当行	dāng xíng	should do	10
示撒	shì sā	Shishak	10
脸上	liǎn shàng	face	10
压酒	yā jiǔ	winepress	10
第十二	dì shí èr	twelfth	10
亚哈家	yà hā jiā	house of Ahab	10
第十一	dì shí yī	eleventh	10
撒玛利亚人	sā mǎ lì yà rén	Samaritans	10
摇头	yáo tóu	shake head	10
比利家	bǐ lì jiā	Berechiah	10
雅哈	yǎ hā	Jahath	10
米拉约	mǐ lā yuē	Meraiah	10
西番雅	xī fān yǎ	Zephaniah	10
哈沙比雅	hā shā bǐ yǎ	Hashabiah	10
约撒拔	yuē sā bá	Josabad	10
耶希业	yē xī yè	Jehiel	10
哈琳	hā lín	Harim	10
以利雅实	yǐ lì yǎ shí	Eliashib	10
无尽	wú jìn	endless	10
秉	bǐng	hold	10
巧匠	qiǎo jiàng	skilled craftsman	10
存着	cún zhe	keep	10
勉励	miǎn lì	encourage	10
大君	dà jūn	great king	10
文士	wén shì	scribe	10
参巴拉	sān bā lā	Sanballat	10
高升	gāo shēng	rise high	10
圣城	shèng chéng	holy city	10
书珊	shū shān	Susa	10
御门	yù mén	king's gate	10
照临	zhào lín	shine upon	10
安逸	ān yì	at ease	10
公堂	gōng táng	court	10
降生	jiàng shēng	birth	10
多人	duō rén	many people	10
无处	wú chù	nowhere	10
无用	wú yòng	useless	10
飞去	fēi qù	fly away	10
寻觅	xún mì	seek	10
准绳	zhǔn shéng	measuring line	10
封缄	fēng jiān	sealed	10
懊悔	ào huǐ	repent	10
至上的	zhì shàng de	supreme	10
穷苦	qióng kǔ	poor and suffering	10
安乐	ān lè	peace and happiness	10
赦	shè	forgive	10
开启	kāi qǐ	open	10
谈论	tán lùn	discuss	10
荣	róng	honor	10
万代	wàn dài	all generations	10
牧	mù	shepherd	10
义理	yì lǐ	righteousness	10
渣滓	zhā zǐ	dregs	10
谤讟	bàng dú	slander	10
收场	shōu chǎng	end	10
越	yuè	more	10
宁可	nìng kě	would rather	10
烈忿	liè fèn	burning wrath	10
火里	huǒ lǐ	fire	10
铁链	tiě liàn	iron chains	10
贪	tān	covet	10
茵蔯	yīn chén	wormwood	10
佳耦	jiā ǒu	spouse	10
救了	jiù le	saved	10
捕风	bǔ fēng	grasping the wind	10
补	bǔ	make up for	10
大主宰	dà zhǔ zǎi	great Lord	10
糠秕	kāng bǐ	chaff	10
陀斐特	tuó fěi tè	Topheth	10
更美	gèng měi	more beautiful	10
尼利亚	ní lì yà	Neriah (name)	10
快到	kuài dào	is near	10
陷人	xiàn rén	trap people	10
伯提沙撒	bó tí shā sā	Belteshazzar	10
善良	shàn liáng	goodness	10
撒都该人	sā dū gāi rén	Sadducees	10
叙利亚	xù lì yà	Syria	10
读过	dú guò	read	10
遗传	yí chuán	tradition	10
医病	yī bìng	heal sickness	10
天主国	tiān zhǔ guó	Kingdom of God	10
舍命	shě mìng	give life	10
以利沙伯	yǐ lì shā bó	Elizabeth	10
教法师	jiào fǎ shī	teachers of the law	10
无底坑	wú dǐ kēng	bottomless pit	10
玛可	mǎ kě	Mark	10
水面	shuǐ miàn	face of the waters	9
青草	qīng cǎo	green grass	9
体	tǐ	body	9
平顶	píng dǐng	flat roof	9
渡口	dù kǒu	ford	9
失信	shī xìn	break faith	9
为仇	wéi chóu	be enemies	9
水边	shuǐ biān	water's edge	9
从上	cóng shàng	from above	9
往下	wǎng xià	downward	9
干了	gān le	dried up	9
不起	bù qǐ	cannot	9
亚大	yà dà	Adah	9
以挪士	yǐ nuó shì	Enosh	9
该南	gāi nán	Kenan	9
玛勒列	mǎ lè liè	Mahalalel	9
生养	shēng yǎng	be fruitful	9
这一切	zhè yī qiè	all these	9
昌炽	chāng chì	prosper	9
看见了	kàn jiàn le	saw	9
就说	jiù shuō	then said	9
歌篾	gē miè	Gomer	9
雅完	yǎ wán	Javan	9
底但	dǐ dàn	Dedan	9
头一个	tóu yī gè	the first	9
亚甲	yà jiǎ	Akkad	9
一片	yī piàn	a stretch of	9
砖	zhuān	brick	9
亲族	qīn zú	kindred	9
大族	dà zú	great nation	9
向他	xiàng tā	to him	9
迁到	qiān dào	moved to	9
家财	jiā cái	household possessions	9
仰观	yǎng guān	look up at	9
日落	rì luò	sunset	9
第八	dì bā	eighth	9
变成	biàn chéng	turn into	9
我国	wǒ guó	my country	9
一口	yī kǒu	a	9
看得见	kàn de jiàn	can be seen	9
请听	qǐng tīng	please listen	9
娶妻	qǔ qī	take a wife	9
喝了	hē le	drank	9
书亚	shū yà	Shuah	9
以法	yǐ fǎ	Ephah	9
红	hóng	red	9
成群	chéng qún	in herds	9
以伦	yǐ lún	Elon	9
媳妇	xí fu	daughters-in-law	9
作成	zuò chéng	make	9
奉上	fèng shàng	present	9
美酒	měi jiǔ	fine wine	9
厌烦	yàn fán	disgusted	9
偷	tōu	stole	9
击鼓	jī gǔ	beat the drum	9
辨别	biàn bié	distinguish	9
二十年	èr shí nián	twenty years	9
买卖	mǎi mài	trade	9
妙	miào	good	9
稀少	xī shǎo	few	9
耳环	ěr huán	earrings	9
收生	shōu shēng	midwife	9
耶乌施	yē wū shī	Jeush	9
京都	jīng dū	capital	9
空	kōng	empty	9
以实玛利人	yǐ shí mǎ lì rén	Ishmaelites	9
撕开	sī kāi	tore	9
为恶	wéi è	did evil	9
取回	qǔ huí	retrieve	9
淫	yín	adultery	9
顺利	shùn lì	prosperous	9
囚犯	qiú fàn	prisoners	9
膳长	shàn zhǎng	chief baker	9
奴才	nú cai	servant	9
吞了	tūn le	swallowed	9
丰年	fēng nián	years of plenty	9
不可胜数	bù kě shèng shǔ	countless	9
艰苦	jiān kǔ	hardship	9
严厉	yán lì	harsh	9
还在	hái zài	still alive	9
二次	èr cì	twice	9
一些	yī xiē	some	9
地下	dì xià	on the ground	9
雅斤	yǎ jīn	Jachin	9
五分之一	wǔ fēn zhī yī	one fifth	9
尸骨	shī gǔ	bones	9
散住	sàn zhù	scatter	9
羊圈	yáng juàn	sheepfold	9
安静	ān jìng	peaceful	9
顶上	dǐng shàng	top	9
磨难	mó nàn	to afflict	9
既已	jì yǐ	already	9
叶忒罗	yè tuī luó	Jethro	9
耳聋	ěr lóng	deaf	9
冤	yuān	wrong	9
母示	mǔ shì	Mushi	9
床榻	chuáng tà	bed	9
这时候	zhè shí hou	at this time	9
重大	zhòng dà	severe	9
势派	shì pài	scale	9
王位	wáng wèi	throne	9
无酵	wú jiào	unleavened	9
脱落	tuō luò	come off	9
骑马的	qí mǎ de	riders	9
铅	qiān	lead	9
汛野	xùn yě	wilderness of Sin	9
降下来	jiàng xià lái	descended	9
覆	fù	report back	9
诫	jiè	commandments	9
下地	xià dì	earth	9
百物	bǎi wù	all things	9
孝敬	xiào jìng	honor	9
远远地	yuǎn yuǎn de	far away	9
下体	xià tǐ	nakedness	9
认出	rèn chū	recognize	9
头生的	tóu shēng de	firstborn	9
教谕	jiào yù	teach	9
百谷	bǎi gǔ	all grains	9
大河	dà hé	great river	9
以便	yǐ biàn	so that	9
织法	zhī fǎ	weaving method	9
海龙皮	hǎi lóng pí	sea cow skin	9
度	dù	measure	9
派立	pài lì	appoint	9
大指	dà zhǐ	thumb	9
一并	yī bìng	together	9
盈岁	yíng suì	full year	9
二百五十	èr bǎi wǔ shí	two hundred fifty	9
私自	sī zì	privately	9
比撒列	bǐ sǎ liè	Bezalel	9
册	cè	book	9
顷刻	qǐng kè	moment	9
虽是	suī shì	even though	9
次	cì	times	9
均分	jūn fēn	share equally	9
可憎嫌	kě zēng xián	detestable	9
醉人	zuì rén	intoxicating	9
分蹄	fēn tí	divided hoof	9
肉皮	ròu pí	skin	9
头顶	tóu dǐng	top of the head	9
洁礼	jié lǐ	purification rite	9
人身	rén shēn	person's body	9
炭	tàn	charcoal	9
派定	pài dìng	appointed	9
习俗	xí sú	customs	9
在家	zài jiā	at home	9
激动	jī dòng	arouse	9
亏负	kuī fù	wrong	9
雇	gù	hired	9
祭肉	jì ròu	sacrificial meat	9
下晚	xià wǎn	evening	9
居庐节	jū lú jié	Feast of Tabernacles	9
传示	chuán shì	proclaim	9
示罗密	shì luó mì	Shelomith	9
热病	rè bìng	fever	9
叶	yè	leaf	9
前后	qián hòu	front and back	9
按数	àn shù	according to number	9
令人	lìng rén	ordered people	9
污辱	wū rǔ	defiled	9
首	shǒu	head	9
未盈岁的	wèi yíng suì de	not yet a year old	9
耶孚尼	yē fú ní	Jephunneh	9
忍怒	rěn nù	slow to anger	9
自大	zì dà	arrogant	9
流出	liú chū	flow out	9
战争	zhàn zhēng	war	9
烈焰	liè yàn	flame	9
巴珊王	bā shān wáng	King of Bashan	9
奇妙	qí miào	wonderful	9
跳跃	tiào yuè	leap	9
余民	yú mín	remaining people	9
息怒	xī nù	calm anger	9
为敌	wéi dí	be enemies	9
首熟	shǒu shú	firstfruits	9
所出	suǒ chū	uttered	9
幼女	yòu nǚ	young girl	9
奋勇	fèn yǒng	bravely	9
记载	jì zǎi	record	9
他哈	tā hā	Tahath	9
北界	běi jiè	northern boundary	9
诸女	zhū nǚ	daughters	9
惧	jù	dread	9
顽梗	wán gěng	stubborn	9
全境	quán jìng	entire region	9
可信	kě xìn	trustworthy	9
宠爱	chǒng ài	cherish	9
峻岭	jùn lǐng	steep hills	9
马匹	mǎ pǐ	horses	9
诸民	zhū mín	various peoples	9
纳税	nà shuì	pay taxes	9
度量	duó liáng	measure	9
收留	shōu liú	take in	9
唾沫	tuò mo	saliva	9
这等	zhè děng	these kinds of	9
报答	bào dá	repay	9
刚强	gāng qiáng	strong	9
乘	chéng	ride	9
奉承	fèng chéng	flatter	9
遵命	zūn mìng	obey	9
这城	zhè chéng	this city	9
亚干	yà gàn	Achan	9
底璧	Dǐ bì	Debir	9
份	fèn	portion	9
又到	yòu dào	and to	9
押撒	yā sǎ	Achsah	9
梭哥	suō gē	Socoh	9
属城的	shǔ chéng de	of the city	9
另有	lìng yǒu	also had	9
都有	dōu yǒu	all have	9
诉说	sù shuō	narrate	9
西缅人	xī miǎn rén	people of Simeon	9
尤甚	yóu shèn	even more	9
钥匙	yào shi	key	9
日渐	rì jiàn	day by day	9
考察	kǎo chá	investigate	9
不到	bù dào	not until	9
撒慕拿	sā mù ná	Zalmunna	9
里衣	lǐ yī	linen garments	9
拔出来	bá chū lái	pull out	9
戏耍	xì shuǎ	play	9
做什么	zuò shén me	what are you doing	9
亮	liàng	dawn	9
精兵	jīng bīng	elite soldiers	9
恰巧	qià qiǎo	by chance	9
嘴唇	zuǐ chún	lips	9
张口	zhāng kǒu	open mouth	9
竟敢	jìng gǎn	dare	9
第三次	dì sān cì	the third time	9
重重	zhòng zhòng	heavily	9
挂念	guà niàn	worry	9
密抹	mì mǒ	Michmash	9
步兵	bù bīng	foot soldiers	9
